Dados	Densidade de Fluxo (Jy)	G1	G2	G3	G4	G5	Ajuste		
-795.894075	-0.32887	0.11576	0.00000	0.00000	0.00000	0.00000	0.11576	0.19769	0.44463
-794.991206	-0.15488	0.11670	0.00000	0.00000	0.00000	0.00000	0.11670	0.07375	0.27157
-794.088336	-0.26339	0.11764	0.00000	0.00000	0.00000	0.00000	0.11764	0.14518	0.38103
-793.185466	-0.04663	0.11858	0.00000	0.00000	0.00000	0.00000	0.11858	0.02730	0.16521
-792.282596	0.44737	0.11953	0.00000	0.00000	0.00000	0.00000	0.11953	0.10748	-0.32784
-791.379726	-0.20807	0.12049	0.00000	0.00000	0.00000	0.00000	0.12049	0.10795	0.32856
-790.476857	-0.31070	0.12145	0.00000	0.00000	0.00000	0.00000	0.12145	0.18675	0.43215
-789.573987	-0.48159	0.12242	0.00000	0.00000	0.00000	0.00000	0.12242	0.36482	0.60400
-788.671117	-0.05294	0.12339	0.00000	0.00000	0.00000	0.00000	0.12339	0.03109	0.17633
-787.768247	-0.29806	0.12437	0.00000	0.00000	0.00000	0.00000	0.12437	0.17845	0.42243
-786.865377	-0.00852	0.12535	0.00000	0.00000	0.00000	0.00000	0.12535	0.01792	0.13388
-785.962508	-0.79002	0.12635	0.00000	0.00000	0.00000	0.00000	0.12635	0.83973	0.91637
-785.059638	0.33090	0.12734	0.00000	0.00000	0.00000	0.00000	0.12734	0.04144	-0.20356
-784.156768	0.34611	0.12835	0.00000	0.00000	0.00000	0.00000	0.12835	0.04742	-0.21777
-783.253898	0.41369	0.12935	0.00000	0.00000	0.00000	0.00000	0.12935	0.08085	-0.28434
-782.351028	-0.27515	0.13037	0.00000	0.00000	0.00000	0.00000	0.13037	0.16445	0.40552
-781.448158	-0.14185	0.13139	0.00000	0.00000	0.00000	0.00000	0.13139	0.07466	0.27324
-780.545289	-0.40749	0.13242	0.00000	0.00000	0.00000	0.00000	0.13242	0.29150	0.53991
-779.642419	-0.04420	0.13345	0.00000	0.00000	0.00000	0.00000	0.13345	0.03156	0.17765
-778.739549	-0.14145	0.13449	0.00000	0.00000	0.00000	0.00000	0.13449	0.07614	0.27594
-777.836679	0.07733	0.13553	0.00000	0.00000	0.00000	0.00000	0.13553	0.00339	0.05821
-776.933809	0.09683	0.13658	0.00000	0.00000	0.00000	0.00000	0.13658	0.00158	0.03975
-776.030940	0.32328	0.13764	0.00000	0.00000	0.00000	0.00000	0.13764	0.03446	-0.18565
-775.128070	0.52851	0.13870	0.00000	0.00000	0.00000	0.00000	0.13870	0.15195	-0.38981
-774.225200	0.20399	0.13977	0.00000	0.00000	0.00000	0.00000	0.13977	0.00412	-0.06422
-773.322330	-0.10917	0.14084	0.00000	0.00000	0.00000	0.00000	0.14084	0.06251	0.25001
-772.419460	0.59214	0.14192	0.00000	0.00000	0.00000	0.00000	0.14192	0.20269	-0.45021
-771.516591	0.56135	0.14301	0.00000	0.00000	0.00000	0.00000	0.14301	0.17501	-0.41835
-770.613721	0.33548	0.14410	0.00000	0.00000	0.00000	0.00000	0.14410	0.03663	-0.19138
-769.710851	0.24803	0.14520	0.00000	0.00000	0.00000	0.00000	0.14520	0.01057	-0.10283
-768.807981	0.59505	0.14630	0.00000	0.00000	0.00000	0.00000	0.14630	0.20137	-0.44874
-767.905111	0.01628	0.14742	0.00000	0.00000	0.00000	0.00000	0.14742	0.01720	0.13113
-767.002241	0.21858	0.14853	0.00000	0.00000	0.00000	0.00000	0.14853	0.00491	-0.07005
-766.099372	-0.14655	0.14966	0.00000	0.00000	0.00000	0.00000	0.14966	0.08774	0.29621
-765.196502	0.35090	0.15078	0.00000	0.00000	0.00000	0.00000	0.15078	0.04005	-0.20012
-764.293632	0.37525	0.15192	0.00000	0.00000	0.00000	0.00000	0.15192	0.04988	-0.22333
-763.390762	0.09770	0.15306	0.00000	0.00000	0.00000	0.00000	0.15306	0.00306	0.05536
-762.487892	0.31300	0.15421	0.00000	0.00000	0.00000	0.00000	0.15421	0.02522	-0.15879
