Dados;Densidade de Fluxo (Jy);G1;G2;G3;G4;G5;Ajuste;Erro
-7,73322E+12;-0.109172648282801;0.140842042458235;1,34E-81;0;0;9,35E+05;0.140842051805819;0.25001470008862
-7,72419E+12;0.592135473544609;0.141922411142215;2,59E-81;0;0;9,70E+05;0.141922420844507;-0.450213052700102
-7,71517E+12;0.561354255270494;0.143008841014402;5,02E-81;0;0;1,01E+06;0.14300885108447;-0.418345404186024
-7,70614E+11;0.335479635981155;0.144101344521976;9,72E-81;0;0;1,05E+06;0.144101354973351;-0.191378281007804
-7,69711E+12;0.248026844102988;0.145199933922472;1,88E-81;0;0;1,08E+06;0.145199944769168;-0.10282689933382
-7,68808E+12;0.595049179128363;0.146304621282056;3,63E-80;0;0;1,13E+06;0.146304632538585;-0.448744546589778
-7,67905E+12;0.0162831892806494;0.147415418472582;7,00E-80;0;0;1,17E+06;0.147415430153973;0.131132240873324
-7,67002E+11;0.218577605524299;0.148532337169732;1,35E-79;0;0;1,21E+06;0.148532349291547;-0.0700452562327515
-7,66099E+12;-0.146551328485849;0.149655388851176;2,60E-79;0;0;1,26E+06;0.149655401429528;0.296206729915377
-7,65197E+12;0.350901463392319;0.150784584793605;5,00E-79;0;0;1,31E+06;0.150784597845177;-0.200116865547142
-7,64294E+12;0.375251717199429;0.151919936070878;9,60E-79;0;0;1,35E+06;0.151919949612945;-0.223331767586484
-7,63391E+12;0.0977004481638986;0.153061453552183;1,84E-78;0;0;1,41E+06;0.153061467602628;0.0553610194387294
-7,62488E+12;0.313002478620749;0.154209147899057;3,53E-78;0;0;1,46E+06;0.154209162476394;-0.158793316144355
-7,61585E+12;-0.0449878767092002;0.155363029563534;6,77E-78;0;0;1,51E+06;0.155363044686931;0.200350921396131
-7,60682E+12;0.0652334430877524;0.156523108786314;1,30E-77;0;0;1,57E+06;0.156523124475611;0.0912896813878588
-7,59779E+12;0.0448375040014639;0.157689395593765;2,48E-78;0;0;1,63E+06;0.157689411869502;0.112851907868038
-7,58876E+12;-0.352134069602602;0.158861899796213;4,73E-77;0;0;1,69E+06;0.158861916679649;0.510995986282251
-7,57974E+12;-0.679613765034073;0.160040630985461;9,02E-77;0;0;1,75E+06;0.160040648498602;0.839654413532675
-7,57071E+11;-0.0242173183335659;0.161225598533086;1,72E-76;0;0;1,82E+06;0.161225616698706;0.185442935032272
-7,56168E+12;0.152831920245117;0.162416811587431;3,28E-76;0;0;1,88E+06;0.162416830429103;0.00958491018398641
-7,55265E+12;0.386802478620748;0.16361427907178;6,23E-76;0;0;1,95E+06;0.1636142986139;-0.223188180006848
-7,54362E+12;0.00610603192023973;0.16481800968253;1,18E-75;0;0;2,03E+05;0.164818029950344;0.158711998030104
-7,53459E+12;0.0770339507019706;0.16602801188618;2,25E-75;0;0;2,10E+06;0.166028032905814;0.0889940822038433
-7,52556E+12;-0.0752279782320429;0.167244293917508;4,26E-75;0;0;2,18E+06;0.167244315715998;0.242472293948041
-7,51653E+12;-0.0111680797548814;0.168466863777762;8,08E-75;0;0;2,26E+06;0.168466886383083;0.179634966137964
-7,50751E+12;0.0473141537476529;0.169695729231638;1,53E-74;0;0;2,34E+05;0.169695752672736;0.122381598925083
-7,49848E+12;-0.187946759957931;0.17093089780547;2,89E-74;0;0;2,43E+06;0.170930922112296;0.358877682070227
-7,48945E+12;-0.342414780262498;0.172172376785435;5,46E-74;0;0;2,52E+06;0.172172401988974;0.514587182251472
-7,48042E+12;-0.211069094983312;0.173420173214522;1,03E-73;0;0;2,61E+06;0.173420199346835;0.384489294330147
-7,47139E+11;-0.356234069602596;0.174674293890882;1,94E-73;0;0;2,71E+06;0.174674320985135;0.530908390587731
-7,46236E+12;-0.0110223944756953;0.175934745365346;3,66E-73;0;0;2,81E+06;0.175934773455849;0.186957167931545
-7,45333E+12;-0.0622411762015886;0.177201533939788;6,88E-73;0;0;2,91E+06;0.177201563062034;0.239442739263623
-7,4443E+12;-0.0883396533589469;0.178474665664096;1,29E-72;0;0;3,02E+06;0.178474695854799;0.266814349213746
-7,43528E+11;0.193623798417704;0.179754146334397;2,43E-72;0;0;3,13E+06;0.179754177631533;-0.0138696207861711
-7,42625E+12;-0.127466556912243;0.1810399814913;4,56E-72;0;0;3,24E+06;0.181040013934148;0.308506570846391
-7,41722E+12;0.111790295879633;0.182332176416864;8,54E-72;0;0;3,36E+06;0.182332210046051;0.0705419141664176
-7,40819E+12;0.567701971006539;0.183630736132845;1,60E-71;0;0;3,49E+06;0.183630770990388;-0.384071200016151
-7,39916E+12;0.40376440755476;0.184935665398959;2,99E-71;0;0;3,61E+06;0.184935701528312;-0.218828706026448
-7,39013E+12;0.312398925321258;0.186246968709851;5,58E-71;0;0;3,74E+06;0.186247006155952;-0.126151919165306
-7,3811E+12;0.0051902958796326;0.187564650293361;1,04E-70;0;0;3,88E+06;0.187564689102683;0.18237439322305
-7,37208E+12;0.345240549686739;0.188888714108813;1,94E-70;0;0;4,02E+06;0.188888754329409;-0.15635179535733
-7,36305E+12;0.124777097910087;0.190219163843984;3,62E-71;0;0;4,17E+05;0.190219205525544;0.0654421076154569
-7,35402E+12;0.742774052224807;0.191556002913399;6,73E-70;0;0;4,32E+06;0.191556046107301;-0.551218006117506
-7,34499E+12;0.60741161567659;0.192899234456639;1,25E-69;0;0;4,48E+06;0.192899279216004;-0.414512336460586
-73359605846;0.787686742580142;0.194248861335317;2,32E-69;0;0;4,64E+06;0.194248907715069;-0.593437834865073
-7,32693E+12;0.933059839026843;0.195604886131552;4,31E-69;0;0;4,81E+06;0.195604934188472;-0.737454904838371
-7,3179E+12;0.609888265422782;0.196967311145547;7,99E-70;0;0;4,98E+06;0.196967360938335;-0.412920904484447
-7,30887E+12;0.259910600448162;0.198336138394083;1,48E-68;0;0;5,16E+06;0.198336189983423;-0.0615744104647389
-7,29985E+12;0.453588773036994;0.199711369607512;2,74E-68;0;0;5,34E+06;0.199711423056134;-0.25387734998086
-7,29082E+12;0.580126844102985;0.201093006228112;5,06E-68;0;0;5,54E+06;0.201093061600858;-0.379033782502127
-7,28179E+12;0.687621767960852;0.202481049408457;9,34E-68;0;0;5,74E+06;0.202481106772352;-0.4851406611885
-7,27276E+12;0.231855778113136;0.203875500008425;1,72E-67;0;0;5,94E+06;0.203875559432743;-0.0279802186803932
-7,26373E+12;0.262949179128366;0.20527635859358;3,17E-67;0;0;6,16E+06;0.20527642014992;-0.0576727589784458
-7,2547E+12;0.214581666438011;0.206683625433578;5,84E-67;0;0;6,38E+06;0.206683689195939;-0.00789797724207153
-7,24567E+12;0.0702283669456278;0.208097300499186;1,07E-66;0;0;6,60E+06;0.208097366544043;0.137868999598415
-7,23664E+12;-0.153273663511229;0.209517383460696;1,97E-66;0;0;6,84E+06;0.209517451867078;0.362791115378307
